Fabricante;Modelo;Ano;Problema;Causa;Solucao;Orcamento;Categoria do Problema;Gravidade do Problema;Tempo Estimado de Reparo
Mazda;XC60;2015; necessrio redefinir o ciclo de conduo do monitor DTC;Fluido de transmisso automtica  Bobina(s) de ignio  Vela(s) de ignio  Pistes do balancim de controle de elevao de tempo varivel (VTEC)  Molas do balancim de controle de elevao de tempo varivel (VTEC);Reparo no conversor de torque;2338;Sistema de Escape;Crítica;1 dia
Buick;Silverado;2010;Superaquecimento do motor;Procedimento de reinicializao do lembrete de manuteno somente para informaes;Bobina(s) de ignição substituída(s)/reparada(s)  Bobina(s) de ignição substituída(s) e vela(s) de ignição substituída(s)/reaprendida(s);1834;Sistema de Arrefecimento;Média;4 horas
Infiniti;Infiniti FX35;2021;Ar condicionado no resfria;Passagens de lquido de arrefecimento obstrudas  Termostato de lquido de arrefecimento com defeito  Lquido de arrefecimento do motor contaminado  Ncleo do aquecedor obstrudo  Bomba de gua com defeito;Alternador substitudo/reparado  Fiao do alternador reparada/substituda/trocada  Caixa de fusveis auxiliar da bateria substituda/reparada/apertada;1316;Direção;Média;2 horas
Kia;Encore;2016;Baixo consumo de energia;Bomba da direo hidrulica com defeito;Substituio do sensor de oxignio;2464;Transmissão;Crítica;1 dia
Honda;RLX;2016;Código de advertência de falha de ignição do motor P0352;Sensor de posio do eixo de comando  Sensor de posio do virabrequim;Substituiu o motor de arranque ou consertou a emenda J308;2497;Elétrico;Média;4 horas
Mitsubishi;A3 Quattro;2016;Tremores do motor;Falha na caixa de transmisso;Mdulo de controle de transmisso (TCM) substitudo/reparado/apertado/ajustado;1843;Suspensão;Média;4 horas
Hyundai;A3 Quattro;2018; necessrio redefinir o ciclo de conduo do monitor DTC;Mdulo de controle de transmisso (TCM) e/ou chicote eltrico;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;1209;Freios;Média;3 dias
Jaguar;A3 Quattro;2019;Sem aquecimento;Passagens de lquido de arrefecimento obstrudas  Termostato de lquido de arrefecimento com defeito  Lquido de arrefecimento do motor contaminado  Ncleo do aquecedor obstrudo  Bomba de gua com defeito;Reparo no conversor de torque;1080;Sistema de Escape;Média;2 dias
Buick;Cruze;2021;Falha no sistema de airbags;Falha na operao de carga parcial da vlvula de ventilao do crter.;Troca da bomba da direo;492;Sistema de Escape;Crítica;4 horas
GMC;Encore;2010;Sem partida  sem fasca;Sensor de posio do eixo de comando  Sensor de posio do virabrequim;Substitudos/reposicionados ambos os sensores de nvel de combustvel, substitudo conjunto de bomba de combustvel/unidade de envio;303;Suspensão;Média;4 horas
Volvo;Eclipse;2017;Cdigo de advertncia P2096.;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);1086;Elétrico;Média;4 horas
Chevrolet;RLX;2016;O motor est funcionando com pouca potncia.;Sensor de posio do eixo de comando  Sensor de posio do virabrequim;Vlvula de controle de tempo de vlvula de escape substituda  leo/filtro do motor substitudo;1589;Elétrico;Média;1 dia
Kia;Sierra;2017;Falha no sistema de airbags;Fluido de transmisso automtica  Bobina(s) de ignio  Vela(s) de ignio  Pistes do balancim de controle de elevao de tempo varivel (VTEC)  Molas do balancim de controle de elevao de tempo varivel (VTEC);Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;1162;Transmissão;Média;3 dias
Buick;X3;2017;Luz do motor acesa;Fluido de transmisso automtica  Bobina(s) de ignio  Vela(s) de ignio  Pistes do balancim de controle de elevao de tempo varivel (VTEC)  Molas do balancim de controle de elevao de tempo varivel (VTEC);Unidade de estgio final de controle do soprador substituda/reparada  bateria substituda/recarregada/programada;2464;Direção;Crítica;1 semana
BMW;Wrangler;2019;Luz do motor acesa;Solenide de purga do canister  Conectores de mangueira de borracha evaporativa  Conjunto do monitor de integridade do sistema evaporativo (ESIM)  Tampa do bocal de abastecimento de combustvel  Tanque de combustvel  Gargalo do bocal de abastecimento do tanque de combustvel;Procedimento de reinicializao do lembrete de manuteno realizada/redefinida;1512;Sistema de Arrefecimento;Crítica;4 horas
Cadillac;Infiniti FX35;2015;Código de advertência de falha de ignição do motor P0352;Falha no conversor de torque;Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;1170;Sistema de Escape;Média;4 horas
Kia;Ram 1500;2018;Motor superaquecendo;Mdulo de controle de transmisso (TCM) e/ou chicote eltrico;Sensor de relao ar/combustvel (A/F) substitudo/apertado  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 1 (B1S1)  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 2 (B1S2);2187;Suspensão;Média;4 horas
Dodge Ram;Camry;2012;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;Lista de componentes eltricos mestre;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;487;Direção;Média;1 dia
Cadillac;Infiniti FX35;2012;Cdigo de advertncia P2096.;Circuito do ventilador com defeito impedindo que o ventilador esfrie o motor;Compressor de ar condicionado (A/C) substituído ou sensor de fluxo do compressor de ar condicionado (A/C) substituído;463;Suspensão;Média;4 horas
Chrysler;Encore;2019;Código de advertência de falha de ignição do motor P0352;Bobina de ignio com falha;Alternador substitudo/reparado  Fiao do alternador reparada/substituda/trocada  Caixa de fusveis auxiliar da bateria substituda/reparada/apertada;1784;Suspensão;Média;2 dias
Infiniti;ES350;2020;Bateria descarregada;Amortecedores desgastados;Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;1421;Suspensão;Alta;1 semana
Toyota;Accord;2020;Ar condicionado no est gelando;Sistema de admisso de ar restrito  Sistema de exausto restrito  Turbocompressor com falha;Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;1073;Sistema de Escape;Média;1 dia
Chevrolet;Ram 1500;2018;Sem aquecimento;Fluido de transmisso automtica  Bobina(s) de ignio  Vela(s) de ignio  Pistes do balancim de controle de elevao de tempo varivel (VTEC)  Molas do balancim de controle de elevao de tempo varivel (VTEC);Substituir sensor de posio do virabrequim (CKP)  Substituir/programar chave imobilizadora  Substituir correia dentada;328;Motor;Média;4 horas
Nissan;Eclipse;2019;Transmisso com reduo de marcha intermitente em velocidades de rodovia;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;2050;Sistema de Escape;Média;2 dias
Volkswagen;Sierra;2018;Superaquecimento do motor;Bobina de ignição com falha;Fluido de transmisso automtica substitudo/lavado;903;Motor;Crítica;4 horas
Dodge Ram;Encore;2019;Bateria no est sendo carregada pelo alternador.;Passagens de lquido de arrefecimento obstrudas  Termostato de lquido de arrefecimento com defeito  Lquido de arrefecimento do motor contaminado  Ncleo do aquecedor obstrudo  Bomba de gua com defeito;Substituio do compressor de ar;1912;Motor;Média;4 horas
Chrysler;Infiniti FX35;2021;Sem aquecimento;Tubo de escape com vazamento  sensor de oxignio com defeito.;Mdulo de controle de transmisso (TCM) substitudo/reparado/apertado/ajustado;1514;Transmissão;Média;2 dias
Mazda;F-150;2017;Ar condicionado no resfria;Amortecedores desgastados;Ncleo do aquecedor substitudo/lavado/limpo ou motor do atuador da porta de mistura substitudo/conectado/reiniciado/reparado ou procedimento de lavagem do sistema de arrefecimento realizado;1005;Sistema de Escape;Crítica;1 dia
Acura;A3 Quattro;2017;Transmisso com falha;Desgaste nas pastilhas de freio;Compressor de ar condicionado (A/C) substituído ou sensor de fluxo do compressor de ar condicionado (A/C) substituído;1830;Motor;Média;4 horas
GMC;Cruze;2010;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Sistema de admisso de ar restrito  Sistema de exausto restrito  Turbocompressor com falha;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;2109;Direção;Média;4 horas
Volvo;3;2015;Sem partida  sem fasca;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Substituição do solenóide/válvula de ventilação do canister de emissões evaporativas (EVAP)  Substituição da válvula de controle de purga do canister  Substituição da bomba de combustível;1560;Freios;Média;1 dia
BMW;X3;2020;Luz do motor acesa;Circuito do ventilador com defeito impedindo que o ventilador esfrie o motor;Limpeza do radiador;487;Sistema de Arrefecimento;Crítica;1 semana
Mercedes;C-Class;2012;Luz de verificao do motor em marcha lenta alta;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Troca das pastilhas de freio;1005;Sistema de Arrefecimento;Média;4 horas
BMW;A4;2016;Transmisso com falha;Sensores de nvel de combustvel;Mdulo de controle de transmisso (TCM) substitudo/reparado/apertado/ajustado;1695;Elétrico;Média;4 horas
Audi;Accord;2016;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;Passagens de lquido de arrefecimento obstrudas  Termostato de lquido de arrefecimento com defeito  Lquido de arrefecimento do motor contaminado  Ncleo do aquecedor obstrudo  Bomba de gua com defeito;Substituir sensor de posio do virabrequim (CKP)  Substituir/programar chave imobilizadora  Substituir correia dentada;328;Elétrico;Crítica;4 horas
Hyundai;Sierra;2012;Direo pesada;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Mdulo de controle de transmisso (TCM) substitudo/reparado/apertado/ajustado;2464;Motor;Média;3 dias
GMC;Escalade;2020;Motor superaquecendo;Amortecedores desgastados;Sensor de relao ar/combustvel (A/F) substitudo/apertado  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 1 (B1S1)  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 2 (B1S2);903;Freios;Média;4 horas
Audi;Silverado;2020;Motor superaquecendo;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Troca das pastilhas de freio;1843;Elétrico;Média;4 horas
Infiniti;XJ 3.0;2012;Sem aquecimento;Falha no sensor de airbags;Substituio do compressor de ar;1695;Suspensão;Média;4 horas
Mercedes;XC60;2020; necessrio redefinir o ciclo de conduo do monitor DTC;Sensores de nvel de combustvel;Troca das pastilhas de freio;1218;Freios;Crítica;4 horas
Infiniti;ES350;2015;Ar condicionado no resfria;Sensor de posio do eixo de comando  Sensor de posio do virabrequim;Substituiu o motor de arranque ou consertou a emenda J308;2222;Motor;Média;4 horas
Ford;ES350;2018;Luz do motor acesa;Sensor de oxignio com defeito;Sensor de relao ar/combustvel (A/F) substitudo/apertado  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 1 (B1S1)  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 2 (B1S2);1784;Transmissão;Média;1 semana
Volvo;A4;2021;Sem partida  sem fasca;Procedimento de reinicializao do lembrete de manuteno somente para informaes;Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;955;Sistema de Escape;Média;4 horas
Infiniti;A3 Quattro;2015;O motor est funcionando com pouca potncia.;Falha na operao de carga parcial da vlvula de ventilao do crter.;Substituio do sensor de oxignio;1512;Elétrico;Média;1 semana
Volvo;A4;2017;Freios falhando;Amortecedores desgastados;Troca das pastilhas de freio;2061;Sistema de Escape;Média;4 horas
GMC;Cruze;2015;Bateria descarregada;Sensor de posio do eixo de comando  Sensor de posio do virabrequim;Vlvula de controle de tempo de vlvula de escape substituda  leo/filtro do motor substitudo;2091;Motor;Média;1 semana
Mitsubishi;A4;2018;Luz de verificao do motor em marcha lenta alta;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Vlvula de controle de tempo de vlvula de escape substituda  leo/filtro do motor substitudo;2206;Transmissão;Média;4 horas
Buick;XJ 3.0;2010; necessrio redefinir o ciclo de conduo do monitor DTC;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Unidade de estgio final de controle do soprador substituda/reparada  bateria substituda/recarregada/programada;1139;Direção;Média;4 horas
Volvo;3;2018;Suspenso com rudos;Procedimento de reinicializao do lembrete de manuteno somente para informaes;Reparo na transmisso;1139;Transmissão;Média;1 semana
Chevrolet;Focus;2010;Luz do motor acesa;Fluido de transmisso automtica  Bobina(s) de ignio  Vela(s) de ignio  Pistes do balancim de controle de elevao de tempo varivel (VTEC)  Molas do balancim de controle de elevao de tempo varivel (VTEC);Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;808;Sistema de Escape;Média;1 dia
Chevrolet;Santa Fe;2012;Luz do motor acesa;Falha na caixa de transmisso;Alternador substitudo/reparado  Fiao do alternador reparada/substituda/trocada  Caixa de fusveis auxiliar da bateria substituda/reparada/apertada;2109;Elétrico;Crítica;3 dias
Infiniti;Cruze;2021;Ar condicionado não está gelando;Bobina de ignição com falha;Compressor de ar condicionado (A/C) substituído ou sensor de fluxo do compressor de ar condicionado (A/C) substituído;945;Sistema de Escape;Crítica;3 dias
Audi;Escalade;2021;Transmisso com reduo de marcha intermitente em velocidades de rodovia;Bomba da direo hidrulica com defeito;Substituio do compressor de ar;1830;Elétrico;Média;4 horas
Buick;RLX;2016;Sem aquecimento;Falha na operao de carga parcial da vlvula de ventilao do crter.;Substitudos/reposicionados ambos os sensores de nvel de combustvel, substitudo conjunto de bomba de combustvel/unidade de envio;903;Elétrico;Média;1 dia
Audi;Escalade;2010;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Compressor de ar condicionado (A/C);Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;630;Sistema de Escape;Média;3 dias
Dodge Ram;XC60;2021;Suspenso com rudos;Bobina de ignio com falha;Vlvula de controle de tempo de vlvula de escape substituda  leo/filtro do motor substitudo;2262;Motor;Média;4 horas
Jeep;XJ 3.0;2012;Baixo consumo de energia;Alternador  Alternador/Regulador de voltagem interno com defeito  Fiao do alternador  Caixa de fusveis auxiliares da bateria;Substituio do sensor de oxignio;2109;Sistema de Arrefecimento;Média;1 semana
Lexus;Ram 1500;2018;Motor superaquecendo;Amortecedores desgastados;Substituio do sensor de oxignio;630;Transmissão;Crítica;1 semana
Infiniti;Infiniti FX35;2016;O motor est funcionando com pouca potncia.;Falha na operao de carga parcial da vlvula de ventilao do crter.;Limpeza do radiador;1069;Motor;Média;3 dias
GMC;Sierra;2015;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Sistema de admisso de ar restrito  Sistema de exausto restrito  Turbocompressor com falha;Substituiu o motor de arranque ou consertou a emenda J308;1086;Transmissão;Média;4 horas
GMC;Outback;2010;Transmisso com falha;Radiador entupido;Vlvula de ventilao do crter de operao de carga parcial substituda  Vlvula de controle de ventilao do crter reparada/substituda  Tampa da vlvula substituda/resselada  Sistema de ventilao positiva do crter (PCV) reparado/substitudo.;2216;Sistema de Escape;Média;4 horas
Mazda;Altima;2012;Superaquecimento do motor;Desgaste nas pastilhas de freio;Mdulo de controle de transmisso (TCM) substitudo/reparado/apertado/ajustado;687;Direção;Crítica;1 semana
Honda;Wrangler;2017;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;Falha na caixa de transmisso;Substituio do compressor de ar;470;Sistema de Arrefecimento;Crítica;1 semana
Subaru;Cruze;2019;Sem aquecimento;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Ncleo do aquecedor substitudo/lavado/limpo ou motor do atuador da porta de mistura substitudo/conectado/reiniciado/reparado ou procedimento de lavagem do sistema de arrefecimento realizado;470;Sistema de Arrefecimento;Crítica;1 semana
Toyota;Escalade;2018;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Circuito do ventilador com defeito impedindo que o ventilador esfrie o motor;Substituio do compressor de ar;2084;Sistema de Arrefecimento;Crítica;1 dia
Subaru;RLX;2015;Suspenso com rudos;Radiador entupido;Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);1818;Suspensão;Média;3 dias
Chevrolet;Ram 1500;2010;Falha no sistema de airbags;Desgaste nas pastilhas de freio;Substituio do compressor de ar;1149;Direção;Média;1 dia
Acura;Ram 1500;2017;Baixo consumo de energia;Sistema de admisso de ar restrito  Sistema de exausto restrito  Turbocompressor com falha;Compressor de ar condicionado (A/C) substituído ou sensor de fluxo do compressor de ar condicionado (A/C) substituído;2129;Motor;Média;1 dia
Mitsubishi;Jetta;2015;Transmisso com falha;Falha no sensor de airbags;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;1139;Freios;Média;4 horas
Ford;Elantra;2020;Transmisso com reduo de marcha intermitente em velocidades de rodovia;Tubo de escape com vazamento  sensor de oxignio com defeito.;Sensor de relao ar/combustvel (A/F) substitudo/apertado  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 1 (B1S1)  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 2 (B1S2);630;Suspensão;Crítica;1 dia
Mazda;XJ 3.0;2016;Freios falhando;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Substituio do sensor de airbags;1382;Elétrico;Crítica;1 dia
Ford;Silverado;2012;Cdigo de advertncia P2096.;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;470;Direção;Crítica;1 dia
Nissan;3;2016;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Procedimento de reinicializao do lembrete de manuteno somente para informaes;Substituição do solenóide/válvula de ventilação do canister de emissões evaporativas (EVAP)  Substituição da válvula de controle de purga do canister  Substituição da bomba de combustível;1269;Elétrico;Crítica;2 dias
Volkswagen;XC60;2021;Sem aquecimento;Passagens de lquido de arrefecimento obstrudas  Termostato de lquido de arrefecimento com defeito  Lquido de arrefecimento do motor contaminado  Ncleo do aquecedor obstrudo  Bomba de gua com defeito;Reparo no conversor de torque;333;Suspensão;Média;3 dias
Lexus;C-Class;2016;Código de advertência de falha de ignição do motor P0352;Bomba da direo hidrulica com defeito;Unidade de estgio final de controle do soprador substituda/reparada  bateria substituda/recarregada/programada;1069;Transmissão;Média;4 horas
Mitsubishi;Escalade;2019;Bateria descarregada;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Troca da bateria;2187;Elétrico;Crítica;1 dia
Mitsubishi;Camry;2019;Tremores do motor;Alternador  Alternador/Regulador de voltagem interno com defeito  Fiao do alternador  Caixa de fusveis auxiliares da bateria;Unidade de estgio final de controle do soprador substituda/reparada  bateria substituda/recarregada/programada;749;Sistema de Arrefecimento;Média;4 horas
Jeep;Elantra;2019;Bateria no est sendo carregada pelo alternador.;Fluido de transmisso automtica  Bobina(s) de ignio  Vela(s) de ignio  Pistes do balancim de controle de elevao de tempo varivel (VTEC)  Molas do balancim de controle de elevao de tempo varivel (VTEC);Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;1880;Transmissão;Média;1 dia
Buick;Escalade;2017;Bateria no est sendo carregada pelo alternador.;Motor do atuador da porta de mistura  Eixo da porta de mistura  Fluxo do lquido de arrefecimento  Termostato do lquido de arrefecimento do motor  Ncleo do aquecedor  Cabea de controle do ar condicionado de ventilao do aquecedor (HVAC);Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);703;Sistema de Escape;Média;1 dia
Audi;XC60;2018;Freios falhando;Alternador  Alternador/Regulador de voltagem interno com defeito  Fiao do alternador  Caixa de fusveis auxiliares da bateria;Substituição do solenóide/válvula de ventilação do canister de emissões evaporativas (EVAP)  Substituição da válvula de controle de purga do canister  Substituição da bomba de combustível;1652;Suspensão;Média;1 dia
Infiniti;Jetta;2010;Indicador de nvel de combustvel irregular, medidor de combustvel no funciona;Sistema de admisso de ar restrito  Sistema de exausto restrito  Turbocompressor com falha;Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;303;Sistema de Escape;Crítica;1 dia
BMW;Camry;2015; necessrio redefinir o ciclo de conduo do monitor DTC;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Reparo na transmisso;470;Motor;Alta;2 dias
Honda;XC60;2016;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Sensor de oxignio com defeito;Substituio do compressor de ar;1749;Transmissão;Crítica;1 dia
Dodge Ram;Altima;2019;Direo pesada;Compressor de ar condicionado (A/C);Ncleo do aquecedor substitudo/lavado/limpo ou motor do atuador da porta de mistura substitudo/conectado/reiniciado/reparado ou procedimento de lavagem do sistema de arrefecimento realizado;1944;Sistema de Arrefecimento;Média;4 horas
Chevrolet;XJ 3.0;2010;Ar condicionado no resfria;Sistema de admisso de ar restrito  Sistema de exausto restrito  Turbocompressor com falha;Mdulo de controle de transmisso (TCM) substitudo/reparado/apertado/ajustado;1041;Transmissão;Média;1 dia
Subaru;Eclipse;2018;Sem partida  sem fasca;Bobina de ignição com falha;Troca dos amortecedores;360;Sistema de Escape;Média;1 semana
Dodge Ram;Silverado;2020;Baixo consumo de energia;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Limpeza do radiador;1818;Freios;Média;4 horas
Cadillac;Wrangler;2020;Ar condicionado no resfria;Falha na operao de carga parcial da vlvula de ventilao do crter.;Turbocompressor substitudo/reparado  Clipe da alavanca de controle da vlvula de descarga substitudo/reparado/apertado;2338;Elétrico;Média;1 dia
Jeep;Infiniti FX35;2012;Indicador de nvel de combustvel irregular, medidor de combustvel no funciona;Falha na caixa de transmisso;Substituiu o motor de arranque ou consertou a emenda J308;1005;Motor;Média;3 dias
Acura;Encore;2021;Código de advertência de falha de ignição do motor P0352;Compressor de ar defeituoso;Reparo na transmisso;1139;Motor;Média;1 dia
Acura;Altima;2010;Superaquecimento do motor;Amortecedores desgastados;Substituição do solenóide/válvula de ventilação do canister de emissões evaporativas (EVAP)  Substituição da válvula de controle de purga do canister  Substituição da bomba de combustível;487;Suspensão;Média;1 semana
Mitsubishi;Encore;2010;Suspenso com rudos;Bateria com baixa carga;Fluido de transmisso automtica substitudo/lavado;303;Suspensão;Crítica;4 horas
Honda;Cruze;2020;Indicador de nvel de combustvel irregular, medidor de combustvel no funciona;Mdulo de controle de transmisso (TCM) e/ou chicote eltrico;Procedimento de reinicializao do lembrete de manuteno realizada/redefinida;2091;Suspensão;Média;4 horas
Nissan;Elantra;2017;Luz do motor acesa;Amortecedores desgastados;Fluido de transmisso automtica substitudo/lavado;1382;Sistema de Arrefecimento;Alta;4 horas
Subaru;Silverado;2020;Sem partida  sem fasca;Passagens de lquido de arrefecimento obstrudas  Termostato de lquido de arrefecimento com defeito  Lquido de arrefecimento do motor contaminado  Ncleo do aquecedor obstrudo  Bomba de gua com defeito;Substituio do compressor de ar;1351;Freios;Média;1 dia
Cadillac;Escalade;2016;Baixo consumo de energia;Falha no conversor de torque;Reparo no conversor de torque;1103;Elétrico;Crítica;1 dia
Dodge Ram;Sedona;2016;Baixo consumo de energia;Radiador entupido;Troca das pastilhas de freio;1784;Elétrico;Média;2 dias
Chevrolet;Jetta;2016;Cdigo de advertncia P2096.;Compressor de ar defeituoso;Troca dos amortecedores;487;Suspensão;Média;1 dia
GMC;Silverado;2021;Ar condicionado não está gelando;Falha no sensor de airbags;Troca das pastilhas de freio;377;Motor;Alta;4 horas
Dodge Ram;Focus;2017;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Substituio do sensor de airbags;2222;Freios;Crítica;1 dia
Lexus;Encore;2010;Sem partida  sem fasca;Tubo de escape com vazamento  sensor de oxignio com defeito.;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;1880;Sistema de Escape;Crítica;2 dias
Infiniti;Wrangler;2020;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;Bobina de ignio com falha;Troca da bateria;1080;Sistema de Escape;Média;2 horas
Honda;Sedona;2018;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);1743;Elétrico;Média;3 dias
Kia;Accord;2021;Sem energia, bateria descarregada;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;1080;Suspensão;Média;2 dias
Subaru;Infiniti FX35;2015;Ar condicionado no resfria;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Substituição do solenóide/válvula de ventilação do canister de emissões evaporativas (EVAP)  Substituição da válvula de controle de purga do canister  Substituição da bomba de combustível;1762;Transmissão;Crítica;1 semana
Mercedes;C-Class;2020;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Compressor de ar defeituoso;Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;2084;Suspensão;Crítica;1 dia
Toyota;Silverado;2018;Freios falhando;Radiador entupido;Ncleo do aquecedor substitudo/limpo/consertado/sangrado  Procedimento de lavagem do sistema de arrefecimento;1421;Suspensão;Média;1 dia
Acura;X3;2017;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;Bobina de ignio com falha;Troca da bateria;517;Motor;Crítica;1 dia
Chevrolet;Encore;2021;Ar condicionado não está gelando;Bobina de ignio com falha;Fluido de transmisso automtica substitudo/lavado;328;Transmissão;Crítica;4 horas
